correct,student_id,Text,Uncertainty,Feature Vectors,Other Strategy,Time
TRUE,Student 7,"At first, I was confused because there was no initial velocity or angle given for the projectile. Then I realized this information was not needed because horizontal and vertical motions are independent of each other, making the balls hit the ground at the same time.",3,"(1,1,0,0,0,0,0,0,0,0,0)",0,34:44
TRUE,Student 82,"The ball falling in the vertical component of each of the motions is solely dependent on gravity since theirs no vertical velocity for either ball. Therefore if they are dropping from the same height, and don't have any velocity they should hit the ground at the same time.",3,"(1,1,1,1,0,0,0,0,0,0,0)",1,33:35
TRUE,Student 54,"If you consider the vertical motion of the ball launched horizontally, it has the same vector as the ball dropped vertically. If the ball was launched even harder with a larger initial horizontal velocity, the ball would still hit at the same time.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,31:54
TRUE,Student 26,"The vertical components of Vo are equal, so their vertical motion is equal.",3,"(0,0,0,0,0,0,0,0,0,0,0)",0,36:02
TRUE,Student 40,"Since the only force acting on both of the balls is the force of gravity, both have an acceleration of -9.8 m/s^2. When the balls are dropped from the same height and have the same acceleration, they will travel the vertical displacement in the same amount of time. Even though one of the balls has a horizontal displacement in addition to a vertical displacement, the fact that the ball is traveling horizontally too does not affect the time it will take for the ball to hit the ground, only the horizontal distance traveled.",3,"(1,1,1,1,1,1,1,1,1,1,1)",0,31:06
TRUE,Student 35,"The vertical motion of both balls are the same, and although they may have different starting velocities, their downward acceleration is the same (gravity) which means that their velocity will be 0 at the same time and this is when they will hit the ground.",3,"(1,1,1,1,0,0,1,1,0,0,0)",0,29:48
TRUE,Student 80,"The behavior of a projectile motion in the y-direction and the x-direction are independent. Therefore, if dropped from the same height both balls will hit the ground at the same time because they will have the same acceleration in vertical motion.",3,"(1,1,0,0,0,0,1,1,0,0,0)",1,58:23
TRUE,Student 36,Both of the balls have the same vertical velocity ( because the thrown object is thrown with horizontal velocity and not vertical velocity). Because they have the same vertical velocity they will hit the ground at the same time. The thrown ball goes farther in the x direction because of the horizontal velocity.,3,"(1,1,0,0,1,1,0,0,0,0,0)",0,27:31
TRUE,Student 85,"They hit the ground at the same time because the projectile motion of the launched ball is simply the superposition of the constant acceleration of gravity and the constant velocity in the horizontal direction. The velocity in the x direction has no bearing on the time it takes for the ball to hit the ground, it is only the gravitational acceleration that affects that. So, since both the dropped ball and the launched ball have the same downwards acceleration, they will hit the ground at the same time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",0,35:35
TRUE,Student 66,"The reason both balls will hit the ground at the same time is because the motion of the ball that is launched is just the superposition of a ball moving in the x and y direction. By that I mean that there are two components of the ball's movement. One is the ball being dropped from the height it is at, and one is the ball being moved on the x axis to the right. The Y component (the ball being dropped with constant acceleration; gravity) of the launched ball is exactly the same as the ball that is being dropped. Therefore because both balls have the exact same components in the y direction they will hit the ground at the same time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",1,34:25
TRUE,Student 15,"Vertical acceleration is the same for both, and initial vertical velocity is 0 hence they should be in the same verticality thus they hit the ground at the same time.",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,01:06
TRUE,Student 48,"We know that both balls have an initial vertical velocity of 0 m/s and a constant acceleration of 9.8 m/s^2. Vertical velocity determines the time the balls spend in the air. When comparing this to the equation ""vertical distance = (viy)t + 0.5at^2"", since both the initial vertical velocity, vertical distance, and gravity values are equal, the time at which the balls hit the ground will also be equal.",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,35:29
TRUE,Student 52,"Dropped from the same height, both balls would have identical y-direction velocity and identical time in the air. Due to gravity constantly accelerating in a negative direction, both balls under these conditions would hit the floor at the same time",3,"(1,1,1,1,1,1,1,1,1,1,1)",0,35:45
TRUE,Student 44,"As we learned in the pre-lecture videos, the vertical component of the ball’s motion is completely independent from the horizontal component. As such, the vertical “falling” of the second ball, even though it is moving horizontally, moves vertically just the same as the ball with no horizontal velocity. It is important to note, this is true only if the two balls have the same initial vertical velocity, which, in this case, is zero.",3,"(1,1,0,0,1,1,0,0,0,0,0)",1,20:17
TRUE,Student 43,Both balls have up/down and left/right motions. The ball on the right being dropped straight down has no left/right motion but the ball on the left does. This only means that the ball on the right travels further away from the tower but still the same distance down with the same pull from gravity in the down direction,3,"(1,1,1,1,1,1,0,0,0,0,0)",0,47:19
TRUE,Student 103,"Because if ball is launched horizontally it means that ball has only horizontal initial velocity and zero vertical velocity. Another ball is dropped vertically, meaning that it also has zero initial vertical velocity. So both balls has zero initial vertical velocity, has same acceleration due to gravity and are launched from same height. So both balls will gain 9.81 m/s velocty after 1 sec, 19.62m/s after 2 sec etc., and go through same distance in 1, 2, 3 seconds. Because distance is area under velocity vs time graph. That's why I both balls hit the ground at the same time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",0,08:19
TRUE,Student 92,"As discussed in the pre-lecture, since the horizontal and vertical motion of each ball are independent of each other, the balls will hit the ground at the same time because the vertical motion is dictated by g (acceleration due to gravity)",3,"(1,1,1,1,0,0,1,1,0,0,0)",1,38:42
TRUE,Student 102,"Both balls fall due to gravity, while one is rolled off the side, the other is dropped straight down. If both start falling at the same exact time, they should both hit the ground at the same exact time. This makes sense as the ball that is launched horizontally did not gain any upward momentum/force, thus the only vertical force acting on it is gravity. Thus if both are experiencing the same force of gravity, both will hit the ground.",3,"(1,1,1,1,1,1,0,0,0,0,0)",0,04:14
TRUE,Student 84,"Applying the concept of projectile motion, the behavior of the first ball (projected) in the vertical direction is the same as the behavior of the second ball, because both balls start from the same height. Considering only the vertical motion with constant acceleration of the balls, both balls take the same amount of time to hit the ground, despite their difference in the horizontal motion.",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,40:13
TRUE,Student 50,"Both balls are dropped with 0 additional vertical velocity. The only variable that affects the time it takes for the ball to reach the ground is the acceleration due to gravity, which is a constant. Without any additional velocity, the balls would reach the ground at the same time.",3,"(1,1,1,1,0,0,1,1,1,1,1)",0,41:25
TRUE,Student 72,"They hit the ground first because they both have the same initial velocity and the same constant acceleration as well as the same height. With all of these variables being the same, t(final) should also be the same.",3,"(0,0,0,0,0,0,0,0,0,0,0)",0,56:56
TRUE,Student 63,I believe both of them will hit the ground at the same time because the idea of superposition. Super position states that the horizontal motion and vertical motion will be equal as long as they are dropped from the same position,3,"(0,0,0,0,0,0,0,0,0,0,0)",1,41:15
TRUE,Student 68,Both balls will hit the ground at the same point because even though one ball is launched they both start at the same height and must travel the same vertical distance. How far the launched ball moves left or right has no impact on how fast it moves up and down.,3,"(1,1,0,0,0,0,0,0,0,0,0)",1,49:53
TRUE,Student 17,Both balls have equal y-axis velocities due to the constant acceleration of gravity which acts downwards. Because they have the same velocity along the y-axis they should reach the ground at the same time.,3,"(1,1,1,1,0,0,1,1,1,1,1)",0,42:56
TRUE,Student 70,"Regardless of the horizontal motion of the launched ball, the vertical acceleration as soon as it leaves the support of the platform is -g, which is the same as the dropped ball. Since they start from the same height and accelerate downward at the same rate, the two balls will hit the ground simultaneously.",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,25:31
TRUE,Student 99,"The time the each ball takes to hit the ground is related to the height, acceleration, and vertical initial velocity. The heights and acceleration(g) of the two balls are the same. Initially, the first ball only has a horizontal velocity, and the other ball is freely falling, which means that the initial velocities of both balls are 0.",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,07:04
TRUE,Student 96,"The balls would both hit the ground at the same time because they are both being acted on by the same vertical force. Even though the horizontally launched ball travels in the x direction, both balls are falling with an acceleration of 10 m/s^2 downwards meaning that they will hit the ground at the same time. This is because vertical and horizontal motion are unrelated in this instance.",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,25:00
TRUE,Student 86,They will hit the ground at the same time because of super position. This means that the projectiles are the same in the vertical and horizontal direction.,3,"(0,0,0,0,0,0,0,0,0,0,0)",1,01:28:12
TRUE,Student 74,"given what was learned about superposition, as long as the thrown ball is launched at a truly horizontal angle, without anything impacting their acceleration, they will hit the ground at the same time since the x and y equations are independent",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,51:35
TRUE,Student 1,"A ball launched at a perfect horizontal only has initial velocity in the x direction. Therefore, the initial y velocity of both balls is the same and changes the same amount due to gravity until they hit the ground at the same time.",3,"(1,1,1,1,1,1,0,0,0,0,0)",0,39:09
TRUE,Student 32,"The vertical vector and horizontal vector have no effect on each other. Both balls start at the same height have the same downwards acceleration, so they will hit the ground at the same time",3,"(1,1,0,0,0,0,1,1,0,0,0)",1,35:43
TRUE,Student 33,"The balls will hit the ground at the same time. This is because the only factor that determines when the balls will hit the ground is the velocity and acceleration in the y direction. Each balls initial y velocity will be equal, and because the acceleration in the y direction is equal for both balls, they will travel the same distance vertically in the same amount of time.",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,39:24
TRUE,Student 60,"I'm not quite sure what was meant by ""dropped horizontally"", but the diagram depicts a ball being launched in the horizontal direction, so I dropped and threw a rock to confirm my logical assumption that the horizontal component of the ball's motion wouldn't affect how gravity acts on it. It seemed to me at first glance that a thrown ball would stay in the air longer, but after thinking further and testing it out it makes sense that they would hit the ground at the same time.",3,"(1,1,1,1,1,1,0,0,0,0,0)",0,08:57
TRUE,Student 97,Both balls start with 0 downward force other than gravity. Horizontal and vertical forces are calculated independently of each other.,3,"(1,1,1,1,0,0,0,0,0,0,0)",1,05:40
TRUE,Student 10,"When objects are in free fall, as the balls above are, they all experience the same downward acceleration. Both balls are being 'pulled' down at the same rate. Although it may seem like the ball launched horizontally would take longer, it shouldn't because horizontal and vertical motion act independently of one another. The ball's horizontal motion does not impede gravity from acting the same way it does on the ball dropped vertically. Therefore, the balls should hit the ground at the same time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",1,01:03:28
TRUE,Student 75,"Projectile motion is completely separate for each axis of motion: In other words, as long as the force applied in the relevant direction (downwards, in this case) is the same for both objects (which it is here: both objects have zero down force applied), then the force applied in other directions is completely irrelevant: it will have no effect on the outcome in the relevant direction.",3,"(1,1,1,1,1,0,0,0,0,0,0)",1,43:37
TRUE,Student 101,"When determining which ball hits the ground first, we must consider the vertical component independently from the horizontal component. Therefore, because the balls are dropped from the same height, they will hit the ground at the same time.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,54:24
TRUE,Student 4,"The only force acting on the two balls once they are dropped/launched is gravity. The vertical acceleration and velocity of the balls are independent from their horizontal velocity, so one ball being launched in a horizontal direction will still experience the same acceleration and hit the ground at the same time as its dropped counterpart, since they both start with a vertical velocity of zero.",3,"(1,1,1,1,1,1,1,1,1,1,1)",1,23:32
TRUE,Student 71,"Both will hit the ground at the same time! If thought of in vectors, the only vectors on either ball in the Y direction are due to gravity. As gravity starts affecting both balls at the same time and has the same magnitude (and direction) of acceleration, both balls will then move the same distance toward the ground in the same amount of time. And after enough time has passed, both balls will hit the ground simultaneously.",3,"(1,1,1,1,0,0,1,1,1,1,1)",0,10:01
TRUE,Student 91,"The horizontal and vertical motion of the ball are independent, given the initial angle and velocity of the launch/drop/throw. Thus we can ignore the horizontal movement of the launched ball. All that matters is the height, which is the same for each ball.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,36:13
TRUE,Student 98,"The balls hit the ground at the same time because the only force acting on the balls when they are dropped or thrown is gravity. Gravity pulls the objects down at the same rate, regardless of the horizontal component of the ball. Thus the same force is acting on both balls and causing them to fall at the same rate, thus making them hit the ground at the same time.",3,"(1,1,1,1,0,0,1,1,1,1,1)",0,36:32
TRUE,Student 49,They would land on the ground at the same time because the speed at which they fall is not affected by their distance in the x axis,3,"(0,0,0,0,0,0,0,0,0,0,0)",0,08:11
TRUE,Student 46,I say that both balls will hit the ground at the same time because the only force the balls feel on the y-axis is gravity. Gravity will make both hit the ground at the same time from the same height.,3,"(1,1,1,1,0,0,0,0,0,0,0)",0,01:08:00
FALSE,Student 21,A ball dropped has less distance to travel than that of the one thrown horizontally.,2,"(1,1,0,0,0,0,0,0,0,0,0)",0,16:31
TRUE,Student 95,"Both balls will hit at the same time because they both have the same forces and initial velocity in the vertical direction. Therefore, no matter what the horizontal speed is, they will hit the ground at the same time.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,06:06
TRUE,Student 5,"The balls will hit the ground at the same time because, even though their horizontal launches are different, they have the same vertical force acting upon them, gravity, causing the balls to reach the ground at the same time.",3,"(1,1,1,1,0,0,0,0,0,0,0)",1,27:30
TRUE,Student 30,The two balls hit the ground at the same time because they are both accelerating due to gravity in the vertical direction. The horizontal motion of the balls are inconsequential to the change in the vertical height of the balls.,3,"(1,1,1,1,1,1,1,1,0,0,0)",1,27:12
TRUE,Student 56,"The two balls hit the ground at the same time because the vertical component and the horizontal component of the fall are independent of each other, meaning one does not affect the other. Since they fall from the same height their vertical components are the same.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,01:05:43
TRUE,Student 53,"It's weird to think about in a literal sense but if you split the motions up into x and y directions it becomes clear they are moving the same amount downwards, so the distance travelled horizontally won't impact the time they hit the ground.",3,"(0,0,0,0,0,0,0,0,0,0,0)",1,18:47
TRUE,Student 89,"We know that acceleration in the y direction of both of the ball is -9.8m/s^2. In order to solve for its final velocity right before it hits the ground, we can use the equation vf^2 = vi^2 + 2a(xf - xi). For both of the ball, let's say: vi = 0 ay = -9.8 m/s^2 xi = 5 m xf = 0m As we can see from this equation, the only variables that matter are vi, ay, xi, and xf. The angle at which the ball get kick ball does not matter.",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,31:02
TRUE,Student 11,"Both balls hit the ground at the same time because they both have the same initial velocity, 0, and acceleration, 9.8m/s^2",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,01:43
TRUE,Student 57,"The constant velocity of the ball going upwards will be equal to the constant acceleration of the ball falling off horizontally. Because they are both falling from the same height, the angle and direction in which they are falling does not matter",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,41:28
TRUE,Student 19,"I think that the both of the balls will hit the ground at the same time because their initial velocities, as well as their acceleration (g=10m/s^2) is the same.",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,15:31
TRUE,Student 94,"Neither ball is thrown upwards, so gravity affects them both at the same rate. Therefore, they hit at the same time.",3,"(1,1,1,1,0,0,0,0,0,0,0)",0,38:11
FALSE,Student 83,"The ball dropped vertically would only have the force aiming downward (gravity) applied to it. The one thrown horizontally would have a strong force moving sideways applied to it on top of the force going downwards, so naturally it will move horizontally more while the downward force acts gradually.",2,"(1,1,1,1,1,1,0,0,0,0,0)",0,34:31
TRUE,Student 2,"As said in the prelecture, if they are at the same initial height, they will hit at the same time. I think it has to do x and y being independent variables.",3,"(0,0,0,0,0,0,0,0,0,0,0)",1,18:53
TRUE,Student 79,"The x and y equations of motion, or horizontal and vertical vectors, are completely separate from each other. No matter how fast an object is moving in the horizontal (x) motion, its behavior in the vertical motion will remain the same. Objects that start at the same height will hit the ground at the exact same time regardless of difference in horizontal motion as they are both affected by the same constant acceleration (g).",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,41:01
TRUE,Student 18,"Horizontal motion is independent of vertical motion, thus the fact that the second ball is launched horizontally doesn't create a difference in vertical motion from the first ball. Since they both experience acceleration towards the ground at the same rate, they will hit the ground at the same time.",3,"(1,1,0,0,1,1,1,1,0,0,0)",1,27:53
TRUE,Student 25,"Honestly I thought of the example of the bullet leaving the gun in the pre-lecture video. Even though one of the bullets was being shot out of a gun and the other it was being dropped straight down, they're being dropped at the same height. Because of vertical motion and horizontal motion are independent of each other, and the fact that the balls are being dropped from the same height, they will hit the floor at the same time.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,41:49
TRUE,Student 20,"vertical and horizontal components of velocity are independent of each other, and in these two instances, the vertical component is the same so both balls will land at the same time",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,38:31
TRUE,Student 100,"Since the first ball is launched horizontally, the initial velocity on the vertical direction v0y is zero, and thus the equation of the displacement of the ball in the y direction can be simplified as y=-1/2gt^2. Also, since the two balls are setting at the same height at first and are dropping/launching at the same time, their displacement in the vertical direction is the same. Thus, according to the equation of the displacement of an object in the y direction, we can know that the time when two balls will spend to hit the ground only relates to the displacement in the y direction and the acceleration of gravity. Therefore, the two balls will hit the ground at the same time since they share the same displacement in the y direction (the height is the same) and the same acceleration of gravity.",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,22:50
TRUE,Student 55,"Both balls travel vertically to the ground. The second ball happens to have an additional horizontal component to it. Though the distance it travels is farther, gravity is constant and influencing both equally.",3,"(1,1,1,1,1,1,0,0,0,0,0)",0,38:45
TRUE,Student 61,"When a ball is being launched horizontally, its velocity in the horizontal direction is constant and its acceleration in the horizontal direction is zero. As a result, any two balls dropping towards the ground from the same height would hit the ground at the same time, since the only the vertical velocity and acceleration changes.",3,"(1,1,0,0,1,1,1,1,0,0,0)",0,24:51
TRUE,Student 13,"Both balls share the same values for vertical velocity, initial height, and they experience constant acceleration, or gravity. Thus, both land on the ground at the same time given that the kinematic equation for the y component depend on vertical velocity, vertical acceleration, and the initial height.",3,"(1,1,1,1,0,0,1,1,0,0,0)",0,54:11
TRUE,Student 16,"Regardless of the first ball's horizontal component, if they are both dropped at the same time they will both hit the ground at the same time because acceleration due to gravity is the same for both balls and only acts in the vertical direction, and they both have an initial vertical velocity of zero. Horizontal motion is not relevant here because it can be treated separately from vertical motion, which determines the time the ball is in the air.",3,"(1,1,1,1,0,0,1,1,1,1,1)",1,42:20
TRUE,Student 22,"They both have the same constant acceleration (-10 m/s^2) in the y direction, an thus will hit the ground at the same time.",3,"(1,1,0,0,0,0,1,1,0,0,0)",0,28:45
