correct,student_id,Text,,Feature Vectors,Other Strategy,,
TRUE,Student 54,"Considering the calculus behind these graphs, I could tell that since the velocity graph was a quadratic equation, then the resulting derivative would be linear. Using my knowledge of Physics, I know that the acceleration is negative when time is negative and positive when time is positive.",1,"(0,0,0,0,0,0,1)",1,30:27,“Considering the calculus behind these graphs”. The derivative of a quadratic is a linear function. Velocity is the derivative of acceleration. 
TRUE,Student 76,I chose the graph that portrays a linear function because in the first part when the velocity is decreasing the acceleration is going to be negative because the final velocity is smaller than the initial velocity (aka slowing down). The in the second part when the velocity is increasing the acceleration is going to be positive because the initial velocity is smaller than the final velocity (aka speeding up).,1,"(0,0,0,0,0,0,1)",1,42:01,
TRUE,Student 81,"Since acceleration is the derivative of the velocity function, I looked at the slope of the velocity function to choose my answer. When t < 0, the slope of v(t) is negative so the a(t) should be below the x axis which is it in the first option.",1,"(0,0,0,0,0,0,1)",1,25:38,Acceleration is the derivative of velocity. 
TRUE,Student 29,"The acceleration curve can be derived from the velocity curve. Since the velocity curve starts negative and gradually becomes more positive, the first graph represents its acceleration.",1,"(0,0,0,0,0,0,0)",1,24:12,Acceleration is the derivative of velocity. 
FALSE,Student 27,"Because the slope of velocity is decreasing when t<0, then the slope = 0 at t=0 and then the slope is increasing when t >0, the acceleration must show this as well because the slope of the velocity = acceleration. The second graph has a slope of 0 at t=0 so it must be this one.",2,"(0,0,0,0,0,0,0)",1,26:46,Acceleration is the derivative of velocity. 
TRUE,Student 34,"I chose answer A because in the graph of velocity versus time, the slope of the line to the left of the y-axis is decreasing, and the slope of the line to the right of the y-axis is increasing. This means that in the graph of acceleration versus time that the line would have to be below the x-axis for values left of the y-axis and above the x-axis for values to the right of the y-axis. This correlates to graph A and not graph B.",1,"(0,0,0,0,0,0,1)",1,26:01,Uses slope. 
FALSE,Student 43,"The velocity graph shows a negative derivative until 0 then is positive after that, and only the second picture shows that",2,"(0,0,0,0,0,0,0)",1,24:15,The derivative of velocity is acceleration. 
TRUE,Student 62,"I chose A because the slope of the velocity graph, which is the acceleration, is negative but becomes less and less negative as it approaches zero. After zero, the acceleration becomes positive. This aligns with A because the graph shows that at some point the acceleration is below zero.",1,"(0,0,0,0,0,0,1)",1,32:07,The slope of velocity is acceleration. 
TRUE,Student 78,"According to the velocity graph, the acceleration starts off in the negative, and slows down until it is 0, then increases afterwards, as can be seen with the increase in velocity on the right side of the y-axis.",1,"(0,0,0,0,0,0,1)",0,47:10,
TRUE,Student 88,"Since the acceleration graph represents the slope of the velocity graph (and therefore the derivative), the acceleration graph is a positive linear graph to represent the slope of the parabola velocity graph.",1,"(0,0,0,0,0,0,0)",1,49:19,The slope of velocity is acceleration. The derivative of a parabola is a linear graph. 
TRUE,Student 35,"I chose the first acceleration graph because if you take the instantaneous velocity from the curve, or basically look at the slope of the velocity curve, when x is less than 0, the slope is negative. This means that the points on the acceleration curve must be negative when x is less than 0. That is only true for the first acceleration graph.",1,"(0,0,0,0,0,0,1)",1,24:59,The slope of the velocity is the acceleration. 
FALSE,Student 7,"The velocity graph does not have a constant slope, meaning the acceleration is not constant either. The slope is also negative then positive, which is best represented in the absolute value graph.",2,"(0,0,0,0,0,0,0)",1,26:17,The slope of velocity is acceleration. 
TRUE,Student 85,"The slope of the tangent line to the velocity graph before t=0 is negative, and the slope of the tangent line to the velocity graph after t=0 is positive, so it must be the option A which shows a negative value for acceleration before t=0 and a positive value for acceleration after t=0.",1,"(0,0,0,0,0,0,1)",1,27:51,The slope of the velocity graph is acceleration. 
TRUE,Student 66,"The displacement graph is the equation x^3, therefore the velocity equation is 3x^2. That means that the acceleration equation will be 6x, which is shown in answer option A. Also the tangent of the velocity line to the left of the y axis is negative, so therefore the acceleration must be negative which allowed me to choose option A over option.",1,"(0,0,0,0,0,0,1)",1,22:52,The slope of the velocity os acceleration. 
TRUE,Student 16,"Acceleration is the time rate of change of velocity, so it is represented by the slope of the velocity-time graph. The velocity-time graph has a negative slope until t = 0, after which it has a positive slope. The value of the correct acceleration-time graph, then, should be negative until t = 0 and positive after this point. This is true of the graph I selected.",1,"(0,0,0,0,0,0,1)",1,35:24,The slope of the velocity is the acceleration. 
TRUE,Student 103,"According to velocity and time graph, velocity decreases over time interval (-infinity; 0). This means that acceleration is negative om that interval. That is why I chose ""A"".",1,"(0,0,0,0,0,0,1)",0,26:59,
TRUE,Student 59,"acceleration is the derivative of velocity. Since the velocity graph is a parabola, the acceleration graph has to be linear because the derivative of a parabola is a straight line.",1,"(0,0,0,0,0,0,0)",1,07:04,The slope of the velocity is the acceleration. 
TRUE,Student 23,"According to the definition, acceleration is the time rate of change of velocity, therefore acceleration is equal to the derivative of velocity, which means the acceleration at a certain time t is the slope of the v-t graph at that time. The graph of acceleration can be drawn by plotting the slope of the v-t graph at each time point. As in the v-t graph above, the velocity is decreasing with a declining rate, and until it's reached zero, it starts to increase with a growing rate. As a result, the acceleration should generally increase from negative to positive.",1,"(0,0,0,0,0,0,1)",1,36:49,The slope of the velocity is the acceleration. 
TRUE,Student 24,"Based on the velocity graph, starting with the left side, we see that the velocity is decreasing in magnitude and has a negative slope, so it's moving towards the left (the negative side). This indicates that the acceleration is also decreasing in magnitude but since the car is heading towards the negative side (left) we know that the acceleration has to be going the opposite direction for the care to be slowing down, so in this case the acceleration would be decreasing in magnitude but have a positive slope. And for the right side of the graph, we see that the velocity is increasing in magnitude and has a positive slope, meaning it is going faster in the positive direction, so the acceleration has to be increasing in magnitude and also going towards the positive direction (right).",1,"(1,0,0,0,0,1,1)",1,34:28,
TRUE,Student 9,"As acceleration is the rate of change of velocity, the slopes of the graph of velocity gives us the points for the acceleration graph. Because the velocity graph has a negative slope to the left of the (x(t))y-axis, its acceleration is negative. In the same way, the velocity on the right of the y-axis (x(t)) is positive thus the plotted points on the acceleration graph to the right of the y-axis are positive.",1,"(0,0,0,0,0,0,1)",1,28:06,The slope of the velocity graph is acceleration. 
TRUE,Student 84,"From the displacement and velocity curves we can analyze that the slope of the velocity curve changes from negative to positive over the interval, which aligns with the first plot.",1,"(0,0,0,0,0,0,1)",1,30:37,The slope of the velocity will give us the acceleration. 
TRUE,Student 14,"Acceleration is the derivative of the velocity curve. Therefore, the acceleration curve should have a straight linear line because the velocity curve is a normal parabola or quadratic curve.",1,"(0,0,0,0,0,0,0)",1,30:18,The slope of the velocity will give us the acceleration. 
TRUE,Student 8,"When t<0, the velocity is clearly decreasing. Therefore, its derivative (acceleration) is negative when t<0.",1,"(0,0,0,0,0,0,1)",1,22:52,The slope of the velocity will give us the acceleration. 
TRUE,Student 80,"Since acceleration is the rate of change of velocity, I looked at how the slope of the line tangent to the velocity graph was changing. The average velocity was first negative then became positive. So the second graph does not represent acceleration because it shows that the rate of change of velocity was positive for all time t.",1,"(0,0,0,0,0,0,1)",1,39:01,The slope of the velocity will give us the acceleration. 
TRUE,Student 100,"Because the acceleration is the slope of the v-t diagram, and the acceleration of the v-t diagram changes from negative to zero and then to positive. Thus, A plot represents perfectly the relationship between acceleration and time which fits the displacement and velocity curves shown above.",1,"(0,0,0,0,0,0,1)",1,42:42,The slope of the velocity will give us the acceleration. 
TRUE,Student 58,"Acceleration is the rate of change of velocity, so a graph showing the acceleration curve would resemble a graph of the derivative of the velocity graph. In this case, the velocity graph is a parabola, so its derivative would be a linear function, not one of absolute value (the other option).",1,"(0,0,0,0,0,0,0)",1,00:00,The slope of the velocity will give us the acceleration. The derivative of a parabola is a linear graph. 
FALSE,Student 67,I chose the graph on the bottom because the velocity and time of the graphs shown above are curved and reached negative points in the graph. The graphs above all show the object was not constant during the increase and decrease of velocity.,2,"(1,0,1,0,1,0,0)",0,06:28,
TRUE,Student 65,I say the first graph because the displacement of the object was always moving in the positive direction and not stopping or changing,1,"(1,1,0,0,0,0,0)",0,14:29,
TRUE,Student 1,I looked strictly at the velocity graph above to find the pattern with the slope. I found that the slope was negative until the origin and positive after the origin. This means that the values of the acceleration graph need to be negative until the origin and positive after the origin. This corresponded to the first graph.,1,"(0,0,0,0,0,0,1)",1,31:09,The slope of the velocity is acceleration. 
TRUE,Student 2,"I chose A because at first velocity is decreasing, which means acceleration is negative however speeding up. Then velocity is increasing and speeding up, showing positive acceleration. I tried to slowly see the relationship of velocity and acceleration at each line.",1,"(0,0,0,0,0,0,1)",0,49:45,
TRUE,Student 69,"Since the acceleration is the change in velocity over time or the derivative of velocity, the slope of the velocity vs. time graph would be the graph of the object's acceleration.",1,"(0,0,0,0,0,0,1)",0,22:31,The slope of the velocity is acceleration. 
TRUE,Student 37,"As acceleration is equal to the derivative of velocity, and the slope of the velocity graph is negative for t<0, then the acceleration vs time graph must have a section that is below the time axis, indicating a negative acceleration.",1,"(0,0,0,0,0,0,1)",1,22:58,The slope of the velocity is acceleration. 
TRUE,Student 38,"Acceleration is the slope of the velocity graph. Thus, the acceleration curve should begin as negative given that the velocity graph has a negative slope until it hits the origin, and after that the acceleration becomes positive as velocity curves back upwards. Option A is the only graph where the acceleration is negative in the beginning, so I chose it as the correct answer.",1,"(0,0,0,0,0,0,1)",1,45:51,The slope of the velocity is acceleration. 
TRUE,Student 48,"I mainly looked at the velocity graph and determined the sign for the slopes before and after t=0. When t<0, its slope (acceleration, which is change in velocity per unit of time) is <0. When t>0, its slope is >0. Therefore, when transferring this on an acceleration vs. time graph, the acceleration values at t<0 will be negative, and the acceleration values at t>0 will be positive. The second option for this answer would indicate that the acceleration is always positive, which is not the case. Therefore, I believe the first option is correct.",1,"(0,0,0,0,0,0,1)",1,51:51,The slope of the velocity is acceleration. 
TRUE,Student 12,The slope of the velocity graph is what the acceleration would be. And the slope of that line is negative until it reached zero and then the slope was positive again. So the acceleration would have to have negative values then hit zero and then be positive.,1,"(0,0,0,0,0,0,1)",1,35:05,The slope of the velocity is acceleration. 
TRUE,Student 33,"The first graph is better because it displays a portion of negative acceleration, while the other graph does not. Velocity decreases from -t to 0, so therefor the acceleration must be negative.",1,"(0,0,0,0,0,0,1)",0,30:44,
TRUE,Student 10,"The acceleration can be deduced from the derivative of the velocity since the change in velocity is the acceleration. On the left side of the y-axis on the velocity graph, the change in velocity is negative. Therefore the left side of the y-axis on the acceleration graph should be negative. On the right side of the y-axis on the velocity graph, the change in velocity is positive. Therefore the right side of the y-axis on the acceleration graph should be positive.",1,"(0,0,0,0,0,0,1)",1,48:08,
FALSE,Student 42,"As the position reaches zero, the velocity slows down to become zero m/s and then proceeds to increase again. Since the velocity behaves this way, the acceleration graph must look like a V-shape because the negative acceleration (because the object was slowing down,) is getting closer to zero and becomes zero, and then the positive acceleration (because the object was speeding up,) continues increasing.",2,"(1,0,1,1,1,0,1)",0,49:35,
TRUE,Student 75,"The acceleration is the derivative of the the velocity. By looking at the above graphs, we can see that the velocity is a quadratic function, like x^2. Since the derivative of a quadratic function is a linear function (and not an absolute value function), it can be determined that the graph of the acceleration is the first graph.",1,"(0,0,0,0,0,0,0)",1,23:32,
TRUE,Student 41,"The graph that I chose is best represents the acceleration curve associated with the displacement because the velocity decreases and increases, so there has to be at least a part of the graph that has to be negative in the third quadrant. So by looking at both graphs there was a clear graph that showed the relationship better.",1,"(0,0,0,0,0,0,1)",0,24:09,
TRUE,Student 40,"Acceleration is the derivative of velocity. The velocity is slowing down when x is less than 0, which indicates a negative acceleration. The velocity is then 0 at the point (0,0) and starts to increase, meaning that there is a positive acceleration. The graph that I chose displays a negative velocity before (0,0) and then a positive velocity after.",1,"(0,0,0,0,0,0,1)",1,30:34,
FALSE,Student 3,"As seen in the velocity v. time graph, the slope of the quadratic curve is negative in approaching the origin (0,0) and positive following the origin. As such, because the acceleration is the slope, or derivative, of the velocity and the second derivative of the position, the acceleration is negative approaching the origin and positive following the origin.",2,"(0,0,0,0,0,0,1)",1,23:28,
FALSE,Student 72,"As velocity approaches 0, the object would be slowing down and have a negative acceleration. The area under the velocity curve is the acceleration which matches with B.",2,"(1,0,1,0,0,0,1)",1,01:03:18,Uses integral rather than derivative as the rule; wrong rule. 
FALSE,Student 89,"I chose B because base on the left hand side of the acceleration vs. time graph, it shows that the velocity is decreasing at a non-constant speed. Right hand side of the acceleration vs. time graph, it shows that the velocity is increasing exponentially. However, for choice A, the velocity vs. time graph shows that the object acceleration increases exponentially which is not the case base on the given displacement and velocity vs. time graph.",2,"(1,0,1,0,1,0,1)",0,36:17,
TRUE,Student 15,"Before x=0, velocity is going down which means acceleration is negative. After x = 0, velocity is increasing which means acceleration is positive.",1,"(0,0,0,0,0,0,1)",0,06:55,"I think follow that, but it sounds like an explanation for choice 2?"
TRUE,Student 46,"Since acceleration is the derivative of velocity, then the graph would have to be a positive linear model. Option two does not work because there are negative slopes in the velocity graph, and these are shown on the option I chose.",1,"(0,0,0,0,0,0,1)",1,54:03,
TRUE,Student 45,"I chose A because acceleration defines how velocity changes with time which is basically how the slope of the velocity curve is changing with time, hence the notation d v(t)/dt. The diagram in A shows the correct transition of the slope of the velocity curve from being negative to positive.",1,"(0,0,0,0,0,0,1)",1,52:11,
TRUE,Student 63,"Although the graph showing the velocity is positive, the displacement graph shows that the object was in a negative position but then moved to a positive one. In terms of acceleration I thought this was represented by starting in the negative, crossing the origin, and moving into the positive.",1,"(1,1,0,0,0,1,1)",1,33:29,
FALSE,Student 39,"In this question, the velocity is demonstrated to slow down to 0,0 and then, at the same rate, increase back to the original speed. This is demonstrated in the second acceleration graph as the rates of change are reflected over the a(t) axis.",2,"(0,0,0,0,0,0,1)",1,43:52,
TRUE,Student 36,"If acceleration is equal to the derivative of the velocity (slope of the v vs. t graph) option a would be correct. If you take the derivative at certain increments from the negatives to 0 on the v vs. t graph you see the derivative goes from being more negative until it reaches 0. then, if you take the derivative from 0 to the positives you can see the derivative goes from 0 to increasingly positive. This data matches with graph A showing a line that goes from more negative to 0 to more positive.",1,"(0,0,0,0,0,0,0)",1,24:31,
TRUE,Student 77,The acceleration would be a straight increasing line that crosses the origin because looking at the displacement graph it increases to zero from the negative direction getting slower shown by the acceleration graphs positive increase to zero with negative numbers and then it’s positive increase after it reaches zero. Similarly it can be seen in another way on the velocity graph where the slope is negative until it reaches the zero midpoint and then positive. The derivative of a parabola is a straight line.,1,"(0,0,0,0,0,1,1)",1,19:35,
TRUE,Student 96,"As the graph of velocity as a function of time approaches zero, the velocity decreases but then increases again after t = 0. As a result of this, the velocity has a negative slope up until t=0 and then has a positive slope after t = 0. Therefore, the acceleration of this function would be negative until 0 and positive after 0, increasing at a steady rate. The first plot accurately represents this as it shows how the acceleration is steadily increasing from negative to positive.",1,"(0,0,0,0,0,0,1)",1,44:09,
TRUE,Student 26,"The slope of velocity starts negative, is 0, and then is positive.",1,"(0,0,0,0,0,0,1)",0,27:55,
TRUE,Student 32,"On the left side of the velocity graph the object is slowing down but never goes backwards. The top graph shows the object having negative and positive acceleration, while the bottom graph only show positive acceleration.",1,"(1,1,1,0,0,1,1)",0,23:02,
TRUE,Student 91,"The (magnitude of the) velocity decreases in the first half of the time period (as the curve comes down to graze the t-axis). This means that the acceleration must be negative during this time. Option A portrays negative acceleration during the first half of the time period. Option B does not. Therefore, option A must be the correct answer. (Both Option A and B are identical in the second half of the time period.)",1,"(0,0,0,0,0,0,1)",0,40:24,
FALSE,Student 53,"Referring back to my notes, acceleration is how fast the velocity is changing, which also means the derivative of the velocity is acceleration. If one were to take the derivative of the velocity graph shown, one would get a graph looking like option B.",2,"(0,0,0,0,0,0,0)",1,51:23,"So… from “referring back to my notes,” I’m inferring this doesn’t really connect for you yet, with your own sense of things?  Does the concept of a derivative?  "
TRUE,Student 13,"The slope of the velocity graph is at zero at t = 0. Before t=0, the slope is negative and after the t=0 the slope is positive.",1,"(0,0,0,0,0,0,0)",1,29:16,
TRUE,Student 44,"On the left side of the graph, since the slope of the velocity is negative, the acceleration on the left side of the graph must also be negative.",1,"(0,0,0,0,0,0,1)",1,24:16,
TRUE,Student 94,"Acceleration is the derivative of velocity. From the graph of velocity you can see that the slope is negative for t<0, 0 at t=0, and positive for t>0. This corresponds to graph A.",1,"(0,0,0,0,0,0,1)",1,44:51,
TRUE,Student 68,"Since acceleration is the derivative of a velocity function, and the velocity function is a parabola, the graph of acceleration will be straight line with a constant slope.",1,"(0,0,0,0,0,0,0)",1,31:47,
TRUE,Student 30,"Since the acceleration is the slope of the velocity vs time graph, we can see that the slope of the velocity vs time graph is negative as the function is decreasing towards zero. This trend is reflected in acceleration graph that I selected. Likewise when the function in the velocity-time graph is increasing, a positive acceleration is observed in the acceleration graph as the slope is positive.",1,"(0,0,0,0,0,0,1)",1,40:02,
TRUE,Student 92,"Since acceleration is the derivative of velocity, if we look at the velocity graph and imagine the slope of tangent lines, the slopes would be negative to the left of the origin and positive to the right of the origin. Additionally, since the velocity graph is a parabola, the acceleration graph should be linear.",1,"(0,0,0,0,0,0,0)",1,19:23,
TRUE,Student 50,"As we can see in the velocity graph, v = 0 as it approaches 0 from the left. Here the acceleration is negative and has a negative slope, as shown in plot A. The velocity then increases, indicating the object is speeding up and having a positive acceleration.",1,"(1,1,1,0,1,1,1)",1,40:34,
TRUE,Student 71,"The velocity funciton is of the general form: f(x)=x^2. As learned in the prelecture videos, acceleration can be derived by integrating (haha) the velocity function.",1,"(0,0,0,0,0,0,1)",1,27:02,
FALSE,Student 49,I choose this answer because the displacement was becoming exponentially negative,2,"(0,0,0,0,0,0,0)",0,04:14,
TRUE,Student 73,"The displacement represents the area under the curve, therefore the graph most accurate that would represent that derivative would be the linear slope.",1,"(0,0,0,0,0,0,0)",1,44:32,
TRUE,Student 101,"Acceleration can be represented by the slope of the tangent line of at each point in time in the velocity function, since it is the time derivative of velocity. Therefore, the graph of the acceleration is the slope of velocity at each point in time (where time is represented by the x-axis). Since velocity is the derivative of displacement, the acceleration graph represents the second derivative of displacement.",1,"(0,0,0,0,0,0,0)",1,55:18,
TRUE,Student 17,acceleration tells us how fast velocity is changing and so the acceleration curve will be the slope of the velocity curve,1,"(0,0,0,0,0,0,0)",1,47:55,
TRUE,Student 56,"Acceleration is defined as the change in velocity over a period of time (slope). In the graph of the velocity, it is shown that the velocity is always positive; however, to the left of the origin, the slope of the velocity is negative. This means that the acceleration will be negative to the left of the origin, but as acceleration gets closer to the origin it becomes 0 m/s^2 because the change in the velocity becomes 0 (indicated by the flat line in the graph). Then, to the right of the origin in the graph of the velocity the slope becomes positive, resulting in a positive acceleration.",1,"(0,0,0,0,0,0,1)",1,58:11,
TRUE,Student 25,"I chose this because acceleration is derived by taking the derivative of velocity. By taking the derivative of a quadratic velocity function, the resulting acceleration function will be linear.",1,"(0,0,0,0,0,0,0)",1,33:51,
TRUE,Student 11,"Since velocity is a parabola, x^2, then acceleration would be the derivative which is 2x. Also, acceleration would be constant and would be a straight line.",1,"(0,0,0,0,0,0,0)",1,01:27,
TRUE,Student 83,My reasoning was that the derivative of the velocity graph would look like the acceleration graph I chose.,1,"(0,0,0,0,0,0,0)",1,38:06,
TRUE,Student 21,"Velocity is increasing at a parabolic rate, so acceleration must be linear",1,"(0,0,0,0,0,0,0)",1,29:31,
TRUE,Student 70,"1. I can see from the second graph that as velocity is decreasing before t reaches 0, it does so at a continuously slower rate, which can be seen in the gradual flattening of the curve, meaning that the acceleration is positive. Only the correct option for the graph of the acceleration curve shows the acceleration curve increasing when t is less than 0. 2. I recognize the first graph as x(t)=t^3. Thus, v(t)=(d(t^3))/dt which works out to v(t)=t^2, also clearly shown in the graph. Doing the same thing for acceleration, a(t)=t, the graph of which is the one I chose.",1,"(0,0,0,0,0,0,1)",1,42:40,
TRUE,Student 79,"The acceleration function is simply rewritten as the derivative of the velocity function. Therefore, the graph for a(t) is the values of the slopes of the v(t) curve at each point. On the velocity curve, the slopes progressively increase (get closer to 0) but are negative, and then increase and are positive. This exactly matches the acceleration line, it increases the entire time but starts off negative and ends up positive.",1,"(0,0,0,0,0,0,1)",1,31:55,
TRUE,Student 74,"just looking at the velocity graph, the velocity is decreasing (neg acceleration) and then increasing (positive acceleration)",1,"(0,0,0,0,0,0,1)",0,32:51,
TRUE,Student 5,"The answer is a because the velocity graph is decreasing when x<0, so acceleration would be negative, and then increasing when x>0, so acceleration would be positive.",1,"(0,0,0,0,0,0,1)",0,20:58,
TRUE,Student 18,"Since the graph of acceleration over time is the slope of velocity over time, I looked at the slope of the velocity graph. It shows that velocity has a negative slope when x is less than 0 and a positive slope when x is more than zero. The first acceleration graph (which resembles a graph of y = x) corresponds to this because the y values (acceleration at specific times) are negative left of the origin and positive right of the origin.",1,"(0,0,0,0,0,0,1)",1,,
TRUE,Student 19,"The displacement graph is showing that it starts out below, and then looking at the derivative, or instantaneous speed, is slowing down around zero, and then speeding up again. The first acceleration curve makes the most sense, because acceleration is starting negatively, and then getting less negative, then hitting zero, and then becoming more positive, aka speeding up.",1,"(0,0,0,0,0,1,1)",1,21:29,
